article_id,full_name,sex,birth_year,death_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index
,Buffer Row at Top,,-10000,-9000,,,,,,,,,,,,,
308,Aristotle,Male,-385,-323,Stageira,,Greece,Europe,40.33333,23.5,Philosopher,Philosophy,Humanities,152,56355172,370758,31.9938
22954,Plato,Male,-427,-348,Athens,,Greece,Europe,37.96667,23.71667,Philosopher,Philosophy,Humanities,142,46812003,329662,31.9888
1095706,Jesus Christ,Male,-4,33,Judea,,Israel,Asia,32.5,34.9,Religious Figure,Religion,Institutions,214,60299092,281771,31.8981
25664190,Socrates,Male,-469,-399,Athens,,Greece,Europe,37.96667,23.71667,Philosopher,Philosophy,Humanities,137,40307143,294213,31.6521
783,Alexander the Great,Male,-356,-323,Pella,,Greece,Europe,40.8,22.51667,Military Personnel,Military,Institutions,138,48358148,350421,31.584
18079,Leonardo da Vinci,Male,1452,1519,Vinci,,Italy,Europe,43.78333,10.91667,Inventor,Invention,Science & Technology,174,88931135,511098,31.4644
5823,Confucius,Male,-551,-479,Qufu,,China,Asia,,,Philosopher,Philosophy,Humanities,192,22363652,116477,31.3705
15924,Julius Caesar,Male,-100,-44,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,128,43088745,336631,31.1161
13633,Homer,Male,-750,-700,Smyrna,,Turkey,Europe,38.41861,27.13917,Writer,Language,Humanities,141,20839405,147797,31.1087
23275,Pythagoras,Male,-570,-495,Samos Island,,Greece,Europe,37.75,26.83333,Philosopher,Philosophy,Humanities,114,26168219,229546,31.0691
1844,Archimedes,Male,-288,-212,Syracuse,,Italy,Europe,37.08333,15.28333,Mathematician,Math,Science & Technology,129,22022077,170714,30.9907
19577,Moses,Male,-1391,-1271,Wadi Tumilat,,Egypt,Africa,,,Religious Figure,Religion,Institutions,115,21880195,190263,30.8632
18934,Muhammad,Male,571,632,Mecca,,Saudi Arabia,Asia,21.41667,39.81667,Religious Figure,Religion,Institutions,150,43026648,286844,30.65
1436,Abraham,Male,-1800,-1700,Other,,Unknown,,33.7,43.5,Religious Figure,Religion,Institutions,105,17824676,169759,30.6047
2731583,Adolf Hitler,Male,1889,1945,Braunau am Inn,,Austria,Europe,48.25833,13.035,Politician,Government,Institutions,169,128368798,759579,30.5778
33163,Wolfgang Amadeus Mozart,Male,1756,1791,Salzburg,,Austria,Europe,47.8,13.03333,Composer,Music,Arts,177,51363334,290188,30.5146
5314,Charlemagne,Male,748,814,Liège,,Belgium,Europe,,,Politician,Government,Institutions,116,26626252,229537,30.4837
32897,William Shakespeare,Male,1564,1616,Stratford-upon-Avon,,United Kingdom,Europe,52.19,-1.71,Writer,Language,Humanities,163,74882297,459401,30.4398
21019,Michelangelo,Male,1475,1564,Caprese Michelangelo,,Italy,Europe,43.63333,11.98333,Painter,Fine Arts,Arts,158,39992803,253119,30.4383
1273,Augustus,Male,-63,14,Rome,,Italy,Europe,41.9,12.5,Politician,Government,Institutions,117,20307663,173570,30.4195
69880,Napoleon Bonaparte,Male,1769,1821,Corsica,,France,Europe,41.9267,8.7369,Politician,Government,Institutions,145,57559307,396961,30.3263
14627,Isaac Newton,Male,1642,1727,Woolsthorpe-by-Colsterworth,,United Kingdom,Europe,52.80986,-0.62877,Physicist,Natural Sciences,Science & Technology,191,59909049,313660,30.2889
736,Albert Einstein,Male,1879,1955,Ulm,,Germany,Europe,48.4,9.98333,Physicist,Natural Sciences,Science & Technology,166,89771090,540790,30.2106
5635,Christopher Columbus,Male,1451,1506,Genoa,,Italy,Europe,44.41111,8.93278,Explorer,Explorers,Exploration,153,58442090,381974,30.1753
9906294,Johann Sebastian Bach,Male,1685,1750,Eisenach,,Germany,Europe,50.97611,10.32056,Composer,Music,Arts,144,29753654,206623,30.1672
8169,Dante Alighieri,Male,1265,1321,Florence,,Italy,Europe,43.78333,11.25,Writer,Language,Humanities,137,20540747,149932,30.1496
